Transect,collect_period,Measurement,Depth_Measurement,Braking,Inner width ,Outer width ,Trail characteristics  ,Corner (if applicable),Type of Turn,Going into Turn ,Notes,,,
4,,240,49,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,250,49,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,260,50,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,270,53,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,280,53,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,290,55,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,300,56,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,310,56,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,320,57,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,330,59,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,340,61,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,350,65,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,360,68,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,370,71,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,380,75,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,390,74,2,169-226,151-250,40L/60S,Corner ,3,,,,,
4,,400,75,2,169-226,151-250,40L/60S,Corner ,3,,,,,
5,13-Dec-24,10,3,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,20,6,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,30,9,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,40,12,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,50,15,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,60,18,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,70,23,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,80,28,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,90,33,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,100,37,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,110,40,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,120,44,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,130,45,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,140,46,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,150,49,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,160,52,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,170,33,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,180,54,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,190,55,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,200,57,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,210,58,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,220,60,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,230,61,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,240,62,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,250,63,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,260,64,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,270,64,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,280,64,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,290,64,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,300,65,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,310,65,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,320,68,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,330,68,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,340,69,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,350,71,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,360,72,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,370,70,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,380,71,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,390,70,2,230-274,190-303,R5/30L/65S,,,,,,,
5,,400,71,2,230-274,190-303,R5/30L/65S,,,,,,,
6,13-Dec-24,10,6,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,20,8,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,30,12,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,40,14,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,50,21,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,60,26,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,70,33,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,80,39,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,90,44,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,100,47,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,110,52,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,120,54,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,130,56,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,140,57,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,150,57,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,160,58,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,170,59,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,180,59,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,190,58,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,200,58,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,210,56,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,220,55,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,230,53,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,240,52,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,250,50,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,260,48,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,270,46,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,280,43,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,290,43,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,300,43,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,310,44,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,320,46,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,330,48,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,340,49,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,350,51,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,360,52,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,370,53,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,380,57,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,390,56,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,400,59,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,410,59,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,420,59,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,430,59,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,440,59,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
6,,450,60,3,193-268,150-291,30L/5RO/65S,Corner,1,2,,,,
7,13-Dec-24,10,3,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,20,5,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,30,8,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,40,9,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,50,11,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,60,13,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,70,18,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,80,22,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,90,25,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,100,28,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,110,27,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,120,28,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,130,30,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,140,32,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,150,34,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,160,36,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,170,38,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,180,40,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,190,41,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,200,42,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,210,44,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,220,44,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,230,44,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,240,44,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,250,44,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,260,44,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,270,45,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,280,46,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,290,47,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,300,49,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,310,52,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,320,53,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,330,56,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,340,57,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,350,60,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,360,61,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,370,63,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,380,68,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,390,68,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,400,71,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,410,71,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,420,72,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,430,76,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,440,78,1,184-246,146-270,RO10/L40/50S,,,,,,,
7,,450,83,1,184-246,146-270,RO10/L40/50S,,,,,,,
8,Winter,10,1,3,143-230,126-263,RO25/L35/40S,Yes,2,1,Hidden in a mound ,,,
8,Winter,20,1,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,30,4,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,40,7,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,50,12,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,60,13,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,70,14,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,80,14,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,90,17,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,100,20,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,110,22,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,120,23,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,130,25,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,140,27,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,150,30,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,160,33,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,170,38,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,180,39,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,190,42,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,200,42,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,210,44,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,220,47,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,230,47,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,240,47,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,250,45,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,260,48,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,270,47,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,280,44,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,290,45,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,300,45,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,310,42,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,320,43,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,330,41,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,340,40,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,350,37,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,360,39,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,370,38,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,380,38,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,390,38,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,400,40,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,410,36,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,420,35,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,430,36,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,440,35,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,450,33,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,460,32,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,470,33,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,480,32,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,490,32,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,500,30,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,510,32,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,520,31,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,530,31,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,540,30,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,550,30,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,560,30,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,570,29,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,580,30,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,590,28,3,,,RO25/L35/40S,Yes,2,,,,,
8,Winter,600,27,3,,,RO25/L35/40S,Yes,2,,,,,
9,14-Oct-24,10,6,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,20,8,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,30,11,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,40,16,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,50,19,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,60,22,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,70,27,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,80,32,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,90,38,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,100,42,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,110,45,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,120,49,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,130,51,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,140,52,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,150,55,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,160,57,1,300-345,260-285,40L/10R/50S,,,,,,,
9,,170,58,1,300-345,260-285,40L/10R/50S,,,,,,,
